Launch_Tag;Launch_JD;Launch_Date;LV_Type;Variant;Flight_ID;Mission;Platform;Launch_Site;Agency;Launch_Code;Category;Country;Outcome
1957 ALP  ;2436116.31;1957-10-04 1928;Sputnik 8K71PS;-;M1-PS;PS-1;-;NIIP-5 LC1;MVS;OS;Sat LEO O 1;RU;S
1957 BET  ;2436145.6;1957-11-03 0230;Sputnik 8K71PS;-;M1-2PS;PS-2;-;NIIP-5 LC1;MVS;OS;Sat LEO A 1;RU;S
1957-F01  ;2436179.2;1957-12-06 1644;Vanguard;-;TV-3;Vanguard TV3 (Vanguard Test Satellite);-;CC LC18A;NRL;OF;Sat MEO O;US;F
1958 ALP  ;2436235.66;1958-02-01 0347;Jupiter C;JunoI;RS-29    UE;Explorer 1;-;CC LC26A;ABMA;OS;Sat LEO A;US;S
1958-F01  ;2436239.81;1958-02-05 0733;Vanguard;-;TV-3BU;Vanguard TV3BU (Vanguard Test Satellite);-;CC LC18A;NRL;OF;Sat MEO O;US;F
1958-F02  ;2436268.27;1958-03-05 1827;Jupiter C;JunoI;RS/CC-26 UV;Explorer 2;-;CC LC26A;ABMA;OF;Sat LEO A;US;F
1958 BET  ;2436280.01;1958-03-17 1215;Vanguard;-;TV-4;Vanguard I (Vanguard Test Satellite);-;CC LC18A;NRL;OS;Sat MEO O;US;S
1958 GAM  ;2436289.23;1958-03-26 1738;Jupiter C;JunoI;RS-24    UT;Explorer 3;-;CC LC5;ABMA;OS;Sat LEO A;US;S
1958-F03  ;2436320.88;1958-04-27 0901;Sputnik 8A91;-;B1-2;ISZ D-1 No. 1 (D-1 No. 1);-;NIIP-5 LC1;MVS;OF;Sat LEO O 3;RU;F
1958-F04  ;2436322.62;1958-04-29 0253;Vanguard;-;TV-5;Vanguard TV5 (X-ray satellite);-;CC LC18A;NRL;OF;Sat MEO O;US;F
1958 DEL  ;2436338.79;1958-05-15 0700;Sputnik 8A91;-;B1-1;ISZ D-1 No. 2 (D-1 No. 2);-;NIIP-5 LC1;MVS;OS;Sat LEO O 3;RU;S
1958-F05  ;2436351.66;1958-05-28 0346;Vanguard;-;SLV-1;Vanguard SLV1 (Lyman Alpha satellite);-;CC LC18A;NRL;OF;Sat MEO O;US;F
1958-F06  ;2436380.71;1958-06-26 0500;Vanguard;-;SLV-2;Vanguard SLV2 (X-ray satellite);-;CC LC18A;NRL;OF;Sat MEO O;US;F
1958-F07  ;2436409.5;1958-07-25;NOTS EV1;-;1;Diagnostic 1 (Diagnostic Payload 1);F-4D-747;NOTS RW03/21?;NOTS;OF;Sat MEO OO;US;F
1958 EPS  ;2436411.13;1958-07-26 1500;Jupiter C;JunoI;RS/CC-44 TT;Explorer 4;-;CC LC5;ABMA;OS;Sat LEO A;US;S
1958-F08  ;2436427.5;1958-08-12;NOTS EV1;-;2;Diagnostic 2 (Diagnostic Payload 2);F-4D-747;NOTS RW03/21?;NOTS;OF;Sat MEO OO;US;F
1958-F09  ;2436433.01;1958-08-17 1218;Thor Able I;-;127;Able/Pioneer (Able 1);-;CC LC17A;AFBMD;OF;Sat EEO E;US;F
1958-F10  ;2436437.5;1958-08-22;NOTS EV1;-;3;Diagnostic 3 (Diagnostic Payload 3);F-4D-747;NOTS RW03/21?;NOTS;OF;Sat MEO OO;US;F
1958-F11  ;2436439.76;1958-08-24 0617;Jupiter C;JunoI;RS/CC-47 HN;Explorer 5;-;CC LC5;ABMA;OF;Sat LEO A;US;F
1958-F12  ;2436440.5;1958-08-25;NOTS EV1;-;4;Argus Radiation 1 (Radiation Payload 1);F-4D-747;NOTS RW03/21?;NOTS;OF;Sat MEO OO;US;F
1958-F13  ;2436441.5;1958-08-26;NOTS EV1;-;5;Argus Radiation 2 (Radiation Payload 2);F-4D-747;NOTS RW03/21?;NOTS;OF;Sat MEO OO;US;F
1958-F14  ;2436443.5;1958-08-28;NOTS EV1;-;6;Argus Radiation 3 (Radiation Payload 3);F-4D-747;NOTS RW03/21?;NOTS;OF;Sat MEO OO;US;F
1958-F15  ;2436469.82;1958-09-23 0740;Vostok-L 8K72;-;B1-3;Luna (E-1 No. 1);-;NIIP-5 LC1;MVS;OF;Sat EEO E;RU;F
1958 ETA  ;2436487.86;1958-10-11 0842;Thor Able I;-;130;Pioneer 1 (Able 2);-;CC LC17A;AFBMD;OS;Sat EEO E;US;S
1958-F17  ;2436488.4;1958-10-11 2141;Vostok-L 8K72;-;B1-4;Luna (E-1 No. 2);-;NIIP-5 LC1;MVS;OF;Sat EEO E;RU;F
1958-F18  ;2436499.64;1958-10-23 0321;Jupiter C;JunoI;RS/CC-49 HE;Beacon 1 (Beacon);-;CC LC5;ABMA;OF;Sat LEO O;US;F
1958-F19  ;2436515.81;1958-11-08 0730;Thor Able I;-;129;Pioneer 2 (Able 3);-;CC LC17A;AFBMD;OF;Sat EEO E;US;F
1958-F20  ;2436542.26;1958-12-04 1818;Vostok-L 8K72;-;B1-5;Luna (E-1 No. 3);-;NIIP-5 LC1;MVS;OF;Sat EEO E;RU;F
1958 THE  ;2436543.74;1958-12-06 0544;Juno II;-;AM-11;Pioneer 3;-;CC LC5;ABMA;OS;Sat HEO O;US;S
1958 ZET  ;2436556.46;1958-12-18 2302;Atlas B;-;10B;SCORE;-;CC LC11;AFBMD;OS;Sat LEO A;US;S
1959 MU  ;2436571.2;1959-01-02 1641;Vostok-L 8K72;-;B1-6;Luna-1 (E-1 No. 4);-;NIIP-5 LC1;MVS;DS;Sat EEO E;RU;S
1959-E01  ;2436589.5;1959-01-21;Thor Agena A;-;160/1019;Discoverer 0;-;V 75-3-4;AFBMD;OE;Sat LEO A;US;S
1959 ALP  ;2436617.16;1959-02-17 1555;Vanguard;-;SLV-4;Vanguard II (Cloud cover satellite);-;CC LC18A;NRL;OS;Sat MEO O;US;S
1959 BET  ;2436628.41;1959-02-28 2149;Thor Agena A;-;163/1022;Discoverer 1 (CORONA Test Vehicle 2);-;V 75-3-4;AFBMD;OF;Sat LEO A;US;S
1959 NU  ;2436630.72;1959-03-03 0510;Juno II;-;AM-14;Pioneer 4;-;CC LC5;ABMA;DS;Sat EEO E;US;S
1959 GAM  ;2436672.39;1959-04-13 2118;Thor Agena A;-;170/1018;Discoverer 2 (CORONA BIO 1);-;V 75-3-4;AFBMD;OS;Sat LEO A;US;S
1959-F01  ;2436672.62;1959-04-14 0249;Vanguard;-;SLV-5;Vanguard SLV5 (Magnetometer satellite);-;CC LC18A;NRL;OF;Sat MEO O;US;F
1959-F02  ;2436723.34;1959-06-03 2009;Thor Agena A;-;174/1020;Discoverer 3 (CORONA BIO 2);-;V 75-3-4;AFBMD;OF;Sat LEO A;US;F
1959-F06  ;2436737.84;1959-06-18 0808;Vostok-L 8K72;-;I1-7;Luna (E-1 No. 5);-;NIIP-5 LC1;MVS;OF;Sat EEO E;RU;F
1959-F03  ;2436742.34;1959-06-22 2016;Vanguard;-;SLV-6;Vanguard SLV6 (Radiation Balance sat);-;CC LC18A;NRL;OF;Sat MEO O;US;F
1959-F05  ;2436766.23;1959-07-16 1737;Juno II;-;AM-16;NASA S-1;-;CC LC5;ABMA;OF;Sat LEO O;US;F
1959 DEL  ;2436788.1;1959-08-07 1424;Thor Able III;-;134;Explorer 6 (NASA S-2);-;CC LC17A;AFBMD;OS;Sat HEO O;US;S
1959 EPS  ;2436794.29;1959-08-13 1900;Thor Agena A;-;192/1029;Discoverer 5 (CORONA C-2);-;V 75-3-4;AFBMD;OS;Sat LEO A;US;S
1959-F07  ;2436795.52;1959-08-15 0031;Juno II;(3);AM-19B;Beacon 2 (Beacon);-;CC LC26B;ABMA;OF;Sat LEO O;US;F
1959 ZET  ;2436800.31;1959-08-19 1924;Thor Agena A;-;200/1028;Discoverer 6 (CORONA C-3);-;V 75-3-5;AFBMD;OS;Sat LEO A;US;S
1959 XI  ;2436823.78;1959-09-12 0639;Vostok-L 8K72;-;I1-7B;Luna-2 (E-1 No. 6);-;NIIP-5 LC1;MVS;DS;Sat EEO E;RU;S
1959-F08  ;2436829.11;1959-09-17 1434;Thor Able II;M1;136;Transit 1A;-;CC LC17A;AFBMD;OF;Sat LEO O;US;F
1959 ETA  ;2436829.72;1959-09-18 0520;Vanguard;X-248;SLV-7;Vanguard III (Magne-Ray satellite);-;CC LC18A;NRL;OS;Sat MEO A;US;S
1959-E02  ;2436836.13;1959-09-24 1512;Atlas C Able;-;9C;Static Test (Able IVA);-;CC LC12;AFBMD;OE;Sat EEO O;US;S
1959 THE  ;2436845.53;1959-10-04 0043;Vostok-L 8K72;-;I1-8;Luna-3 (E-2A);-;NIIP-5 LC1;MVS;DS;Sat EEO E;RU;S
1959 IOT  ;2436855.15;1959-10-13 1530;Juno II;-;AM-19A;Explorer 7 (NASA S-1A);-;CC LC5;ABMA;OS;Sat LEO O;US;S
1959 KAP  ;2436880.35;1959-11-07 2028;Thor Agena A;-;206/1051;Discoverer 7 (CORONA C-4);-;V 75-3-4;AFBMD;OS;Sat LEO A;US;S
1959 LAM  ;2436893.31;1959-11-20 1925;Thor Agena A;-;212/1050;Discoverer 8 (CORONA C-5);-;V 75-3-5;AFBMD;OS;Sat LEO A;US;S
1959-F09  ;2436898.81;1959-11-26 0726;Atlas Able;-;20D;Able IVB;-;CC LC14;AFBMD;OF;Sat EEO O;US;F
1960-F01  ;2436969.29;1960-02-04 1851;Thor Agena A;-;218/1052;Discoverer 9 (CORONA C-6);-;V 75-3-4;AFBMD;OF;Sat LEO A;US;F
1960-F02  ;2436984.34;1960-02-19 2015;Thor Agena A;-;223/1054;Discoverer 10 (CORONA C-7);-;V 75-3-5;AFBMD;OF;Sat LEO A;US;F
1960-F03  ;2436991.23;1960-02-26 1725;Atlas Agena A;-;29D/1008;Midas 1 (Midas ETS-I F1);-;CC LC14;AFBMD;OF;Sat LEO A;US;F
1960 ALP  ;2437005.04;1960-03-11 1300;Thor Able IV;-;219;Pioneer 5 (P-2);-;CC LC17A;AFBMD;DS;Sat EEO E;US;S
1960-F04  ;2437017.07;1960-03-23 1335;Juno II;-;AM-19C;NASA S-46;-;CC LC26B;MSFC;OF;Sat LEO O;US;F
1960 BET  ;2437025.99;1960-04-01 1140;Thor Able II;M1;148;Tiros 1 (A-1);-;CC LC17A;AFBMD;OS;Sat LEO O;US;S
1960 GAM  ;2437038.0;1960-04-13 1202;Thor Ablestar;-;257/AB002;Transit 1B;-;CC LC17B;AFBMD;OS;Sat LEO O;US;S
1960 DEL  ;2437040.35;1960-04-15 2030;Thor Agena A;-;234/1055;Discoverer 11 (CORONA C-8);-;V 75-3-5;AFBMD;OS;Sat LEO A;US;S
1960-F06  ;2437041.17;1960-04-16 1607;Vostok-L 8K72;-;L1-9A;- (E-3 No. 2);-;NIIP-5 LC1;RVSN;OF;Sat EEO E;RU;F
1960-F07  ;2437067.89;1960-05-13 0916;Thor Delta;-;144/D001;Echo (A-10 Echo);-;CC LC17A;GSFC;OF;Sat LEO O;US;F
1960 EPS  ;2437069.5;1960-05-15 0000;Vostok 8K72;-;L1-11;Korabl'-Sputnik (Vostok-1P);-;NIIP-5 LC1;RVSN;OS;Sat LEO O;RU;S
1960 ZET  ;2437079.23;1960-05-24 1736;Atlas Agena A;-;45D/1007;Midas 2 (Midas ETS-I F2);-;CC LC14;AFBMD;OS;Sat LEO A;US;S
1960 ETA  ;2437107.75;1960-06-22 0554;Thor Ablestar;-;281/AB003;Transit 2A/GRAB (Transit 2A);-;CC LC17B;AFBMD;OS;Sat LEO O;US;S
1960-F08  ;2437115.42;1960-06-29 2200;Thor Agena A;-;160/1053;Discoverer 12 (CORONA Diagnostic 1);-;V 75-3-4;AFBMD;OF;Sat LEO A;US;F
1960-F09  ;2437143.9;1960-07-28 0931;Vostok 8K72;-;L1-10;- (Vostok-1 No. 1);-;NIIP-5 LC1;RVSN;OF;Sat LEO O;RU;F
1960 THE  ;2437157.36;1960-08-10 2037;Thor Agena A;-;231/1057;Discoverer 13 (CORONA Diagnostic 2);-;V 75-3-5;AFBMD;OS;Sat LEO A;US;S
1960 IOT  ;2437158.9;1960-08-12 0939;Thor Delta;-;270/D002;Echo 1 (A-11);-;CC LC17A;GSFC;OS;Sat LEO O;US;S
1960 KAP  ;2437165.33;1960-08-18 1957;Thor Agena A;-;237/1056;Discoverer 14 (CORONA C-9);-;V 75-3-4;AFBMD;OS;Sat LEO A;US;S
1960-F10  ;2437165.33;1960-08-18 1958;Thor Ablestar;-;262/AB004;Courier 1A;-;CC LC17B;AFBMD;OF;Sat LEO O;US;F
1960 LAM  ;2437165.86;1960-08-19 0844;Vostok 8K72;-;L1-12;Korabl'-Sputnik-2 (Vostok-1 No. 2);-;NIIP-5 LC1;RVSN;OS;Sat LEO O;RU;S
1960 MU  ;2437191.43;1960-09-13 2213;Thor Agena A;-;246/1058;Discoverer 15 (CORONA C-10);-;V 75-3-5;AFBMD;OS;Sat LEO A;US;S
1960-F11  ;2437203.13;1960-09-25 1513;Atlas Able;-;80D;Able VA;-;CC LC12;AFBMD;OF;Sat EEO O;US;F
1960 NU  ;2437212.24;1960-10-04 1750;Thor Ablestar;-;293/AB005;Courier 1B;-;CC LC17B;AFBMD;OS;Sat LEO O;US;S
1960-F12  ;2437218.1;1960-10-10 1427;Molniya 8K78;-;L1-4M;- (1M No. 1);-;NIIP-5 LC1;RVSN;OF;Sat EEO OE 1;RU;F
1960-F13  ;2437219.36;1960-10-11 2033;Atlas Agena A;-;57D/2101;Samos 1 (SAMOS E-1);-;PA LC1-1;AFBMD;OF;Sat SSO O;US;F
1960-F14  ;2437222.08;1960-10-14 1351;Molniya 8K78;-;L1-5M;- (1M No. 2);-;NIIP-5 LC1;RVSN;OF;Sat EEO OE 1;RU;F
1960-E01  ;2437232.16;1960-10-24 1545;R-16;-;LD1-3T;8K64 LKI (MGCh 8F17);-;NIIP-5 LC41/3;RVSN;ME;Test;RU;S
1960-F15  ;2437234.35;1960-10-26 2026;Thor Agena B;-;253/1061;Discoverer 16 (CORONA C'-1);-;V 75-3-4;AFBMD;OF;Sat LEO A;US;F
1960 XI  ;2437241.72;1960-11-03 0523;Juno II;-;AM-19D;Explorer 8 (NASA S-30);-;CC LC26B;MSFC;OS;Sat LEO O;US;S
1960 OMI  ;2437251.36;1960-11-12 2042;Thor Agena B;-;297/1062;Discoverer 17 (CORONA C'-2);-;V 75-3-5;AFBMD;OS;Sat LEO A;US;S
1960 PI  ;2437261.97;1960-11-23 1113;Thor Delta;-;245/D003;Tiros 2 (NASA A-2);-;CC LC17A;GSFC;OS;Sat LEO O;US;S
1960-F16  ;2437269.33;1960-11-30 1950;Thor Ablestar;-;283/AB006;Transit 3A/GRAB (Transit 3A);-;CC LC17B;AFBMD;OF;Sat LEO O;US;F
1960 RHO  ;2437269.81;1960-12-01 0730;Vostok 8K72;-;L1-13;Korabl'-Sputnik-3 (Vostok-1 No. 3);-;NIIP-5 LC1;RVSN;OS;Sat LEO O;RU;S
1960-F17  ;2437273.38;1960-12-04 2114;Scout X-1;-;ST-3;S-56 (NASA S-56);-;WI LA3;LARCN;OF;Sat LEO O;US;F
1960 SIG  ;2437276.35;1960-12-07 2020;Thor Agena B;-;296/1103;Discoverer 18 (CORONA C'-3);-;V 75-3-4;AFBMD;OS;Sat LEO A;US;S
1960-F18  ;2437283.88;1960-12-15 0910;Atlas Able;-;91D;Able VB;-;CC LC12;AFBMD;OF;Sat EEO O;US;F
1960 TAU  ;2437289.36;1960-12-20 2032;Thor Agena B;-;258/1101;Discoverer 19 (CORONA RM-1);-;V 75-3-5;AFBMD;OS;Sat LEO A;US;S
1960-F19  ;2437290.82;1960-12-22 0745;Vostok 8K72;K;L1-13A;- (Vostok-1 No. 4);-;NIIP-5 LC1;RVSN;OF;Sat LEO O;RU;F
1961 ALP  ;2437331.35;1961-01-31 2021;Atlas Agena A;-;70D/2102;Samos 2 (SAMOS F-1);-;PA LC1-1;AFBMD;OS;Sat SSO O;US;S
1961 BET  ;2437334.55;1961-02-04 0118;Molniya 8K78;-;L1-7V;Tyazholiy Sputnik (1VA No. 1);-;NIIP-5 LC1;RVSN;OF40;Sat EEO OE 1;RU;S
1961 GAM  ;2437342.52;1961-02-12 0034;Molniya 8K78;-;L1-6V;Venera (1VA No. 2);-;NIIP-5 LC1;RVSN;DS;Sat EEO OE 1;RU;S
1961 DEL  ;2437347.05;1961-02-16 1305;Scout X-1;-;ST-4;Explorer 9 (NASA S-56A);-;WI LA3;LARCN;OS;Sat LEO O;US;S
1961 EPS  ;2437348.35;1961-02-17 2025;Thor Agena B;-;298/1104;Discoverer 20 (ARGON 1);-;V 75-3-4;AFBMD;OS;Sat LEO A;US;S
1961 ZET  ;2437349.46;1961-02-18 2257;Thor Agena B;-;261/1102;Discoverer 21 (CORONA RM-2);-;V 75-3-5;AFBMD;OS;Sat LEO A;US;S
1961 ETA  ;2437352.66;1961-02-22 0345;Thor Ablestar;-;313/AB007;Transit 3B;-;CC LC17B;AFBMD;OS;Sat LEO O;US;S
1961-F01  ;2437355.51;1961-02-25 0013;Juno II;-;AM-19F;NASA S-45;-;CC LC26B;MSFC;OF;Sat LEO O;US;F
1961 THE  ;2437367.77;1961-03-09 0629;Vostok 8K72;K;E103-14;Korabl'-Sputnik-4 (Vostok-3 No. 1);-;NIIP-5 LC1;RVSN;OS;Sat LEO O;RU;S
1961 IOT  ;2437383.75;1961-03-25 0554;Vostok 8K72;K;E103-15;Korabl'-Sputnik-5 (Vostok-3 No. 2);-;NIIP-5 LC1;RVSN;OS;Sat LEO O;RU;S
